
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000572                       # Number of seconds simulated (Second)
simTicks                                    571929500                       # Number of ticks simulated (Tick)
finalTick                                   571929500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      5.77                       # Real time elapsed on the host (Second)
hostTickRate                                 99082132                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8556720                       # Number of bytes of host memory used (Byte)
simInsts                                      1250423                       # Number of instructions simulated (Count)
simOps                                        2278927                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   216621                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     394797                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          1143860                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.914778                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.093161                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         2499492                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       72                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        2439456                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1871                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               220631                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            359830                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  36                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             1027744                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.373603                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.195952                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    284107     27.64%     27.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    138421     13.47%     41.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    192643     18.74%     59.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    134919     13.13%     72.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     86327      8.40%     81.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     44260      4.31%     85.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    102641      9.99%     95.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     26870      2.61%     98.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     17556      1.71%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               1027744                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   29211     95.95%     95.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     95.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     95.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     95.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     95.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     95.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     95.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     95.95% # attempts to use FU when none available (Count)
